epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,6600.88,0.86659,0.79811,1.28574,0.84033,0.8165,0.85354,0.6677,0.73336,0.56528,1.14365,0.000282625,0.000282625,0.000282625
85,6679.49,0.87235,0.81056,1.29852,0.81362,0.81196,0.84732,0.66693,0.73464,0.56864,1.14901,0.0002785,0.0002785,0.0002785
86,6757.28,0.85256,0.77395,1.27373,0.85434,0.77749,0.85094,0.66188,0.73623,0.57015,1.14883,0.000274375,0.000274375,0.000274375
87,6835.3,0.85456,0.78432,1.27827,0.78204,0.81356,0.83383,0.65435,0.7302,0.56855,1.142,0.00027025,0.00027025,0.00027025
88,6913.5,0.84752,0.76009,1.27594,0.82852,0.78407,0.84314,0.65519,0.74478,0.58068,1.1618,0.000266125,0.000266125,0.000266125
89,6992.0,0.85899,0.77732,1.27708,0.84052,0.77785,0.84854,0.66517,0.74608,0.56779,1.15437,0.000262,0.000262,0.000262
90,7070.28,0.85192,0.77612,1.27958,0.81575,0.82228,0.84686,0.65933,0.73558,0.56116,1.14628,0.000257875,0.000257875,0.000257875
91,7148.83,0.8397,0.76233,1.26244,0.84159,0.78201,0.83993,0.65659,0.73864,0.57905,1.1511,0.00025375,0.00025375,0.00025375
92,7227.31,0.84568,0.75433,1.26275,0.82446,0.79021,0.8428,0.65888,0.73577,0.56189,1.15052,0.000249625,0.000249625,0.000249625
93,7305.33,0.85334,0.77124,1.27831,0.83742,0.78526,0.83383,0.65129,0.74339,0.56484,1.15943,0.0002455,0.0002455,0.0002455
94,7383.76,0.83222,0.74599,1.2579,0.84972,0.79946,0.85599,0.67115,0.73294,0.55158,1.15036,0.000241375,0.000241375,0.000241375
95,7462.07,0.83746,0.75475,1.26547,0.84274,0.77813,0.84282,0.66568,0.7229,0.55555,1.13262,0.00023725,0.00023725,0.00023725
96,7540.38,0.83726,0.74873,1.26142,0.83226,0.8032,0.85588,0.66443,0.73797,0.56065,1.15249,0.000233125,0.000233125,0.000233125
97,7618.7,0.82489,0.72662,1.247,0.86449,0.78632,0.84888,0.66631,0.74866,0.57436,1.16574,0.000229,0.000229,0.000229
98,7696.78,0.8369,0.74132,1.25796,0.79939,0.822,0.84403,0.66749,0.72785,0.56281,1.14518,0.000224875,0.000224875,0.000224875
99,7775.38,0.82703,0.73609,1.25808,0.83853,0.81222,0.83814,0.66454,0.73662,0.57716,1.15034,0.00022075,0.00022075,0.00022075
100,7853.49,0.81506,0.71632,1.24879,0.82865,0.8218,0.84611,0.66439,0.74792,0.57364,1.16309,0.000216625,0.000216625,0.000216625
101,7931.82,0.83268,0.72913,1.25126,0.79531,0.83601,0.84511,0.66712,0.7303,0.5594,1.14109,0.0002125,0.0002125,0.0002125
102,8010.09,0.81939,0.72405,1.25266,0.81299,0.83322,0.8526,0.66864,0.72222,0.55967,1.1399,0.000208375,0.000208375,0.000208375
103,8088.75,0.82385,0.73489,1.25492,0.82999,0.8041,0.85134,0.66819,0.71303,0.54648,1.12878,0.00020425,0.00020425,0.00020425
104,8167.01,0.8081,0.71319,1.23818,0.80714,0.80959,0.85201,0.66961,0.72249,0.5567,1.13631,0.000200125,0.000200125,0.000200125
105,8244.94,0.80798,0.71926,1.24129,0.81011,0.83828,0.86052,0.67564,0.71419,0.54817,1.12256,0.000196,0.000196,0.000196
106,8322.98,0.80454,0.71068,1.24069,0.85106,0.79365,0.85672,0.67967,0.70675,0.541,1.11723,0.000191875,0.000191875,0.000191875
107,8401.37,0.79943,0.70548,1.2333,0.87197,0.7879,0.85122,0.67491,0.7041,0.54447,1.11283,0.00018775,0.00018775,0.00018775
108,8479.83,0.8023,0.70807,1.23577,0.84674,0.81202,0.85333,0.67662,0.70278,0.53773,1.11529,0.000183625,0.000183625,0.000183625
109,8557.8,0.80739,0.69709,1.23963,0.87029,0.79257,0.84809,0.67082,0.70813,0.54219,1.11688,0.0001795,0.0001795,0.0001795
110,8635.89,0.79375,0.69046,1.2295,0.82465,0.83753,0.85322,0.6718,0.70324,0.54888,1.118,0.000175375,0.000175375,0.000175375
111,8713.95,0.80966,0.71199,1.24825,0.84386,0.81212,0.84738,0.67332,0.69987,0.54695,1.1145,0.00017125,0.00017125,0.00017125
112,8792.15,0.79411,0.70218,1.23577,0.86148,0.79557,0.8519,0.68063,0.70261,0.54047,1.11766,0.000167125,0.000167125,0.000167125
113,8870.4,0.78963,0.69079,1.22719,0.86486,0.78784,0.85361,0.68014,0.70899,0.54418,1.12226,0.000163,0.000163,0.000163
114,8948.43,0.78996,0.68252,1.22233,0.84244,0.80315,0.84492,0.66993,0.71387,0.55604,1.12169,0.000158875,0.000158875,0.000158875
115,9026.42,0.79058,0.69208,1.22951,0.81694,0.81773,0.85113,0.67607,0.7073,0.55196,1.11626,0.00015475,0.00015475,0.00015475
116,9104.89,0.78749,0.68178,1.22567,0.84441,0.80607,0.85186,0.68075,0.70467,0.54851,1.11265,0.000150625,0.000150625,0.000150625
117,9183.05,0.77717,0.67218,1.21694,0.86311,0.79957,0.85309,0.68221,0.70092,0.54514,1.1134,0.0001465,0.0001465,0.0001465
118,9261.03,0.78482,0.68303,1.22852,0.83736,0.80461,0.85226,0.67566,0.70379,0.54948,1.11693,0.000142375,0.000142375,0.000142375
119,9339.18,0.77868,0.67438,1.22024,0.84073,0.7982,0.85309,0.67789,0.70546,0.54342,1.1217,0.00013825,0.00013825,0.00013825
120,9417.38,0.77414,0.67241,1.21326,0.84492,0.81099,0.85708,0.68689,0.70133,0.54194,1.11544,0.000134125,0.000134125,0.000134125
121,9495.58,0.763,0.65365,1.21182,0.82464,0.82024,0.85084,0.67984,0.70409,0.54105,1.11307,0.00013,0.00013,0.00013
122,9573.63,0.7638,0.66144,1.21328,0.83871,0.81881,0.85418,0.6793,0.70624,0.54091,1.11231,0.000125875,0.000125875,0.000125875
123,9651.79,0.77201,0.67089,1.21487,0.82067,0.82954,0.85621,0.68592,0.70561,0.53518,1.11072,0.00012175,0.00012175,0.00012175
124,9729.68,0.75705,0.64794,1.20727,0.84497,0.81787,0.86456,0.69299,0.69665,0.53718,1.10519,0.000117625,0.000117625,0.000117625
125,9807.75,0.74994,0.64561,1.20055,0.83971,0.83779,0.86275,0.68919,0.69658,0.53435,1.10164,0.0001135,0.0001135,0.0001135
126,9885.66,0.76121,0.66083,1.20826,0.83723,0.8255,0.85561,0.68863,0.69542,0.53717,1.10217,0.000109375,0.000109375,0.000109375
127,9963.91,0.76248,0.65596,1.20918,0.85549,0.81569,0.85422,0.68766,0.69664,0.5428,1.10616,0.00010525,0.00010525,0.00010525
128,10042.0,0.75961,0.64919,1.20518,0.87191,0.8091,0.85785,0.68771,0.69715,0.5489,1.10484,0.000101125,0.000101125,0.000101125
129,10120.0,0.75419,0.64551,1.1996,0.85226,0.80538,0.85483,0.68489,0.69658,0.54725,1.10529,9.7e-05,9.7e-05,9.7e-05
130,10198.4,0.74397,0.63514,1.19844,0.85298,0.79569,0.85821,0.6828,0.69715,0.54716,1.10839,9.2875e-05,9.2875e-05,9.2875e-05
131,10276.0,0.74503,0.63125,1.1972,0.8463,0.80817,0.86077,0.68738,0.69897,0.5472,1.1105,8.875e-05,8.875e-05,8.875e-05
132,10354.1,0.75006,0.63231,1.19708,0.8369,0.82687,0.8587,0.68601,0.69988,0.55013,1.11091,8.4625e-05,8.4625e-05,8.4625e-05
133,10432.3,0.73663,0.62672,1.19151,0.84475,0.82227,0.85522,0.68425,0.6982,0.55017,1.11084,8.05e-05,8.05e-05,8.05e-05
134,10510.2,0.74508,0.63355,1.19637,0.81954,0.82392,0.85531,0.68522,0.69797,0.55179,1.10857,7.6375e-05,7.6375e-05,7.6375e-05
135,10588.3,0.73626,0.62841,1.19124,0.8559,0.80232,0.85667,0.68786,0.69917,0.55242,1.10672,7.225e-05,7.225e-05,7.225e-05
136,10714.8,0.53589,0.33533,1.06465,0.84868,0.80105,0.85183,0.68466,0.70029,0.54768,1.10837,6.8125e-05,6.8125e-05,6.8125e-05
137,10792.1,0.52305,0.31961,1.05567,0.85278,0.80478,0.85051,0.68138,0.69748,0.54414,1.1067,6.4e-05,6.4e-05,6.4e-05
138,10869.5,0.51418,0.30761,1.04894,0.86282,0.79901,0.8512,0.67754,0.69471,0.54514,1.10517,5.9875e-05,5.9875e-05,5.9875e-05
139,10946.9,0.5177,0.30991,1.05371,0.86551,0.80396,0.85146,0.67925,0.69237,0.54594,1.1029,5.575e-05,5.575e-05,5.575e-05
140,11024.7,0.51079,0.30277,1.04647,0.86636,0.80981,0.8537,0.68382,0.69448,0.54525,1.10475,5.1625e-05,5.1625e-05,5.1625e-05
141,11102.2,0.50726,0.30333,1.04715,0.87558,0.80899,0.8519,0.68365,0.6957,0.54439,1.10483,4.75e-05,4.75e-05,4.75e-05
142,11180.1,0.50087,0.299,1.04381,0.85963,0.81857,0.84803,0.68008,0.69729,0.54573,1.1074,4.3375e-05,4.3375e-05,4.3375e-05
143,11257.8,0.49253,0.29694,1.03779,0.87279,0.80939,0.84844,0.68091,0.69623,0.54609,1.10642,3.925e-05,3.925e-05,3.925e-05
144,11335.4,0.49439,0.29416,1.03562,0.87459,0.80799,0.84557,0.6806,0.69282,0.54727,1.10068,3.5125e-05,3.5125e-05,3.5125e-05
145,11412.7,0.48653,0.2879,1.03436,0.87401,0.80336,0.84645,0.6814,0.69175,0.54772,1.09928,3.1e-05,3.1e-05,3.1e-05
146,11490.2,0.48735,0.28767,1.03051,0.87319,0.80577,0.84814,0.6846,0.69047,0.54447,1.09795,2.6875e-05,2.6875e-05,2.6875e-05
147,11567.5,0.48432,0.28406,1.02791,0.86959,0.80762,0.84932,0.6844,0.68956,0.54503,1.09687,2.275e-05,2.275e-05,2.275e-05
148,11644.8,0.48127,0.28247,1.02641,0.86502,0.80788,0.8496,0.68523,0.68938,0.54603,1.09675,1.8625e-05,1.8625e-05,1.8625e-05
149,11722.1,0.48464,0.28679,1.02727,0.85412,0.81832,0.84996,0.6867,0.68983,0.54796,1.0988,1.45e-05,1.45e-05,1.45e-05
150,11799.4,0.48329,0.28413,1.02865,0.85051,0.82001,0.85089,0.68795,0.68912,0.54702,1.09808,1.0375e-05,1.0375e-05,1.0375e-05
