image_id,file,model,num_gt,num_pred,time_sec
2594,plier--54-_jpg.rf.ecQfyW9GAT91SZaLsO8T.jpg,Grounding DINO,1,39,0.276755
757,Wrench (474)_JPEG.rf.A5FZd27ebTRnp8m4sKcJ.JPEG,YOLO fine-tuned,1,1,0.018940
757,Wrench (474)_JPEG.rf.A5FZd27ebTRnp8m4sKcJ.JPEG,OWL-ViT,1,1,0.036243
757,Wrench (474)_JPEG.rf.A5FZd27ebTRnp8m4sKcJ.JPEG,OWLv2,1,2,0.182599
757,Wrench (474)_JPEG.rf.A5FZd27ebTRnp8m4sKcJ.JPEG,Grounding DINO,1,8,0.291173
3844,Screwdriver (22)_JPEG.rf.1LNjZyPGdMAu7W4jjy1k.JPEG,YOLO fine-tuned,1,40,0.018486
3844,Screwdriver (22)_JPEG.rf.1LNjZyPGdMAu7W4jjy1k.JPEG,OWL-ViT,1,5,0.042326
3844,Screwdriver (22)_JPEG.rf.1LNjZyPGdMAu7W4jjy1k.JPEG,OWLv2,1,2,0.183981
3844,Screwdriver (22)_JPEG.rf.1LNjZyPGdMAu7W4jjy1k.JPEG,Grounding DINO,1,35,0.298586
220,p--88-_jpg.rf.X8Im1eSjGZ730GWsEHk1.jpg,YOLO fine-tuned,1,3,0.021584
220,p--88-_jpg.rf.X8Im1eSjGZ730GWsEHk1.jpg,OWL-ViT,1,1,0.038456
220,p--88-_jpg.rf.X8Im1eSjGZ730GWsEHk1.jpg,OWLv2,1,1,0.184165
220,p--88-_jpg.rf.X8Im1eSjGZ730GWsEHk1.jpg,Grounding DINO,1,18,0.233447
4592,000579_jpg.rf.pyyP49K9sDc3FbktiW7O.jpg,YOLO fine-tuned,4,25,0.018615
4592,000579_jpg.rf.pyyP49K9sDc3FbktiW7O.jpg,OWL-ViT,4,15,0.037112
4592,000579_jpg.rf.pyyP49K9sDc3FbktiW7O.jpg,OWLv2,4,39,0.183638
4592,000579_jpg.rf.pyyP49K9sDc3FbktiW7O.jpg,Grounding DINO,4,61,0.267409
3404,000065_jpg.rf.0kfF1HppHGGb4wvUenA5.jpg,YOLO fine-tuned,1,3,0.019029
3404,000065_jpg.rf.0kfF1HppHGGb4wvUenA5.jpg,OWL-ViT,1,2,0.035856
3404,000065_jpg.rf.0kfF1HppHGGb4wvUenA5.jpg,OWLv2,1,2,0.183820
3404,000065_jpg.rf.0kfF1HppHGGb4wvUenA5.jpg,Grounding DINO,1,27,0.238997
3893,Hammer (1493)_JPEG.rf.N57M91bcsGiNVs0txc0K.JPEG,YOLO fine-tuned,1,3,0.081103
3893,Hammer (1493)_JPEG.rf.N57M91bcsGiNVs0txc0K.JPEG,OWL-ViT,1,3,0.036103
3893,Hammer (1493)_JPEG.rf.N57M91bcsGiNVs0txc0K.JPEG,OWLv2,1,2,0.184022
3893,Hammer (1493)_JPEG.rf.N57M91bcsGiNVs0txc0K.JPEG,Grounding DINO,1,22,0.265358
2620,plier--147-_jpg.rf.A7aGoEGGQqMJkLFJbF2s.jpg,YOLO fine-tuned,1,1,0.020245
2620,plier--147-_jpg.rf.A7aGoEGGQqMJkLFJbF2s.jpg,OWL-ViT,1,3,0.041437
2620,plier--147-_jpg.rf.A7aGoEGGQqMJkLFJbF2s.jpg,OWLv2,1,5,0.183983
2620,plier--147-_jpg.rf.A7aGoEGGQqMJkLFJbF2s.jpg,Grounding DINO,1,30,0.241058
1398,Screwdriver (890)_JPEG.rf.4iwheJVjdbsxnsTpPH0p.JPEG,YOLO fine-tuned,6,82,0.035039
1398,Screwdriver (890)_JPEG.rf.4iwheJVjdbsxnsTpPH0p.JPEG,OWL-ViT,6,23,0.036713
1398,Screwdriver (890)_JPEG.rf.4iwheJVjdbsxnsTpPH0p.JPEG,OWLv2,6,107,0.183867
1398,Screwdriver (890)_JPEG.rf.4iwheJVjdbsxnsTpPH0p.JPEG,Grounding DINO,6,87,0.315906
3902,Screwdriver (607)_JPEG.rf.Qfhc0DGVdQlCF7TBrfmn.JPEG,YOLO fine-tuned,1,8,0.019424
